Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
244549392,Tame Impala,Lonerism,"Island Records, Interscope Records, Fiction Records, Virgin Music Group","2xLP, Album, RE + LP + Box, S/Edition, 10 ",,2023,27194601,Uncategorized,2024-07-05 01:14:57,,,
"DBMDCD 2022, 5054197283970",David Bowie,Moonage Daydream (A Film By Brett Morgen),"ISO Records, ISO Records, Parlophone, Parlophone","2xCD, Album, Comp",5,2022,25211806,Uncategorized,2022-12-09 03:26:33,,,
885 137-6,"Jon Brion, Various",L'Amour Ouf (Soundtrack & Score),"Label Panthéon, Universal Music France","2xLP, Comp, Ltd, Red",,2024,32529465,Uncategorized,2025-04-29 09:55:26,,,
0602458993288,John Lennon,Mind Games,"Lenono Music, Universal Music Group International, Apple Records","LP, Album, RE + LP",,2024,31202122,Uncategorized,2024-10-02 03:25:42,,,
111 103-1,Various,Pulp Fiction (Music From The Motion Picture),MCA Records,"LP, Comp",4,1994,654018,Uncategorized,2023-04-26 10:35:33,,,
537 184-1,Serge Gainsbourg,Histoire De Melody Nelson,"Mercury, Mercury Music Group","2xLP, Album, RE, RM, Gat",5,2016,21125833,Uncategorized,2023-02-10 01:57:56,,,
276124-1,Serge Gainsbourg,(Best Of) Gainsbourg (Comme Un Boomerang),"Mercury, Universal Music France","2xLP, Comp, RE",5,0,19620157,Uncategorized,2023-06-09 10:28:27,,,
"74321928492, CD 92849-2",Alberto Iglesias,Hable Con Ella (Banda Sonora Original),"Milan, Milan","CD, Album",,2002,11420502,Uncategorized,2025-07-19 02:57:07,,,
MOVLP2444,The Cramps,Flamejob,Music On Vinyl,"LP, Ltd, Num, RE, Blu",4,2023,26994921,Uncategorized,2023-07-10 03:31:31,,,
CDStumm172,Moby,Play,Mute,"CD, Album",,1999,14620581,Uncategorized,2025-07-11 01:26:23,,,
"CDSTUMM130, 5016025611300",Moby,Everything Is Wrong,"Mute, Mute","CD, Album",,1995,5173804,Uncategorized,2025-07-11 01:25:27,,,
905182,The Young Gods,Super Ready / Fragmenté,Muve Recordings,"CD, Album",,2007,964168,Uncategorized,2025-05-17 05:53:03,,,
"NV811412, NV 811412",Carla Bruni,No Promises,"Naïve, Naïve","CD, Album, Enh, Dig",,2007,4258682,Uncategorized,2025-05-17 06:18:58,,,
NPR1238VINYL,Jinjer (2),Live In Los Angeles,Napalm Records,"2xLP, Album",,2024,30752877,Uncategorized,2024-05-23 09:13:36,,,
3414886,Pogo Car Crash Control,Fréquence Violence,Panenka Music,"LP, Album, Cle",,2022,23421329,Uncategorized,2024-07-05 01:16:25,,,
3479106,Pogo Car Crash Control,Negative Skills,Panenka Music,"LP, Album",,2025,33541605,Uncategorized,2025-05-26 09:18:01,,,
19658719671,Beyoncé,Renaissance,"Parkwood Entertainment, Columbia","2xLP, 180 + Box, Album, Col",,2022,24600890,Uncategorized,2024-04-08 22:51:05,,,
19658894931,Beyoncé,Cowboy Carter,"Parkwood Entertainment, Columbia, Sony Music","2xLP, Album, Ltd, Alt",,2024,30367832,Uncategorized,2024-04-12 00:40:03,,,
88985446751,Beyoncé,Lemonade,"Parkwood Entertainment, Columbia, Sony Music","2xLP, Album, RE, Yel",,2023,29324869,Uncategorized,2024-07-15 09:14:46,,,
0190295209407,Gorillaz,Song Machine Season One,Parlophone,"LP + 12"" + CD, Album, Dlx + Album, Dlx, Ltd",,2020,16093356,Uncategorized,2024-08-30 00:49:27,,,
0190295643423,Gorillaz,The Now Now,Parlophone,"LP, Album",,2018,12186161,Uncategorized,2024-08-28 04:01:27,,,
0190295851194,Gorillaz,Humanz,Parlophone,"2xLP, Album, Gat",,2017,10175557,Uncategorized,2024-08-31 02:45:07,,,
