Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
88985349031,Lou Reed,Transformer,"RCA, RCA Victor","LP, Album, RE, RM",5,2018,17985520,Uncategorized,2023-05-26 08:22:09,,,
"RCV1 727421, 603497816415",Various,The Virgin Suicides (Music From The Motion Picture),"Rhino Records (2), Rhino Records (2)","LP, Comp, RE + Flexi, 7"", S/Sided + RSD, Ltd, Blu",,2025,33674139,Uncategorized,2025-07-11 10:27:51,,,
"RCVI 317029, 603497848133",Various,The Virgin Suicides (Music From The Motion Picture),"Rhino Records (2), Rhino Records (2)","LP, Comp, Ltd, RE, Rec",4,2023,28614229,Uncategorized,2024-03-25 10:16:45,,,
"RCV1 726985, 081227813949",Alice Cooper,Muscle Of Love,"Rhino Records (2), Warner Records","2xLP, Album, Dlx, Ltd, RE, RM, Pin",,2024,32251374,Uncategorized,2024-11-12 02:50:49,,,
"R2 725031, 603497832415",Alice Cooper,Billion Dollar Babies,"Rhino Records (2), Warner Records, Rhino Records (2), Warner Records","CD, Album, RE, RM + CD",5,2024,30031852,Uncategorized,2024-03-08 01:51:59,,,
554 646-1,The Rolling Stones,Hackney Diamonds,"Rolling Stones Records, Polydor","LP, Album, Ltd, Pur",4,2023,28606537,Uncategorized,2023-10-20 00:59:08,,,
"COC 69100, 0602508773211",The Rolling Stones,Exile On Main St,"Rolling Stones Records, Rolling Stones Records","2xLP, Album, RE, RM, 180",,2022,28642858,Uncategorized,2024-11-19 02:15:06,,,
"4844231, 00602448442314",The Rolling Stones,Grrr Live! ,"Rolling Stones Records, Rolling Stones Records, Mercury Studios (5), Mercury Studios (5), Universal Music Group, Universal Music Group","3xLP, Album, Ltd, S/Edition, Whi",5,2023,26053582,Uncategorized,2023-07-02 10:28:12,,,
RTRADLP166,The Libertines,The Libertines,Rough Trade,"LP, Album, RE, RP",4,2021,21138451,Uncategorized,2024-02-28 08:41:02,,,
025 071 563-9,Quincy Jones,Big Band Bossa Nova,Saga,"LP, RM",,2020,16043809,Uncategorized,2024-05-01 07:30:13,,,
556-197-8,Chet Baker,My Funny Valentine,Sélection FNAC,"LP, Comp, RE, RM",,2023,30316805,Uncategorized,2024-05-01 07:30:41,,,
SGB50LP,Roger Waters,The Dark Side Of The Moon Redux,"SGB Music Limited, Cooking Vinyl","2xLP, Album, Blu",5,2023,28510447,Uncategorized,2023-11-20 03:30:30,,,
TRANS509CD,Arlo Parks,Collapsed In Sunbeams,Transgressive Records,"CD, Album",4,2021,17155057,Uncategorized,2022-12-22 14:46:45,,,
TRANS509X,Arlo Parks,Collapsed In Sunbeams,"Transgressive Records, Beatnik","LP, Album, Ltd, Red",4,2021,17151046,Uncategorized,2023-04-20 09:19:19,,,
TWOGTL 130-12,The Young Gods,Appear Disappear,Two Gentlemen Records,"LP, Cre + CD + Album, Ltd",,2025,34203484,Uncategorized,2025-06-13 02:56:27,,,
832 231-2,Jane Birkin,Vol.1,"U.L.M TV Market, Universal","CD, Comp, RE, RM",,2003,6257522,Uncategorized,2025-05-17 07:30:02,,,
485 387-8,Feu ! Chatterton,Live À Paris (Palais D'Argile Tour 2022),Universal Music France,2xCD,4,2022,25377520,Uncategorized,2023-02-04 11:03:22,,,
UCCU-90007,Martial Solal,À Bout De Souffle (Bande Originale Du Film),"Universal Music France, Universal Music Jazz France, EmArcy","CD, Album, Comp, RE",,2013,15829122,Uncategorized,2025-06-25 09:13:13,,,
"R2 725876 / 603497828852, 00600753993149",Deep Purple,Machine Head,"Universal Music Group, Universal Music Group","LP, Album, RE, Pur + CD, Album, RE, RM + CD, Album",5,2024,30239906,Uncategorized,2024-03-30 05:45:32,,,
"6580358, 00602465803587",The Verve,This Is Music: The Singles,"Universal Music Recordings, Virgin, EMI, Universal Music Recordings, Virgin, EMI","2xLP, Comp, RE",,2025,32916609,Uncategorized,2025-01-30 08:47:58,,,
450 118-6,Feu ! Chatterton,Palais D'Argile,Universo Em Fogo,"2xCD, Album, Dlx, RE",4,2021,21141472,Uncategorized,2022-12-09 04:31:24,,,
3786617,Lana Del Rey,Ultraviolence,"Vertigo, Universal Music Group","2xLP, Album, Dlx, 180",5,2014,5790430,Uncategorized,2023-01-28 08:36:51,,,
0602517084186,Various,Marie Antoinette (Original Motion Picture Soundtrack),"Verve Forecast, Polydor","2xCD, Comp",,2006,835935,Uncategorized,2025-07-16 08:42:36,,,
6022046441,Mass Hysteria (4),Tenace - Part 1,Verycords,"LP, Album, Ltd, Whi",3,2023,27204540,Uncategorized,2023-06-10 01:52:53,,,
900051,The Velvet Underground & Nico (3),The Velvet Underground & Nico,Vinyl Lovers,"LP, Album, RE, Pee",,2008,1839185,Uncategorized,2024-08-12 14:22:53,,,
7243 8101092 1,Various,More In The Mood For Love (More Music From And Inspired By The Motion Picture),Virgin,"CD, Comp",,2001,4661567,Uncategorized,2025-05-17 06:38:44,,,
0602557048414,Queen,Greatest Hits,Virgin EMI Records,"2xLP, Comp, RE, RM, Gat",4,2016,9371072,Uncategorized,2024-01-05 09:03:59,,,
0602557048445,Queen,Greatest Hits II,Virgin EMI Records,"2xLP, Comp, RE, RM, Gat",4,2016,9370710,Uncategorized,2023-12-25 07:29:38,,,
581796-5,Feu ! Chatterton,La Grande Magie,Virgin Music,CD,,2023,30548113,Uncategorized,2025-07-24 08:50:57,,,
0946 3 83761 2 5,AIR,Pocket Symphony,"Virgin Music, Aircheology","CD, Album, Enh",,2007,10571461,Uncategorized,2025-05-17 05:56:36,,,
"7243 8488482 6, CDV 2910",AIR,Original Motion Picture Score For The Virgin Suicides,"Virgin, Virgin","CD, Album, RE, IMS",,0,3303964,Uncategorized,2024-04-14 11:02:46,,,
3455956,Various,Tarantino Sounds - A Tribute To Quentin Tarantino,Wagram Music,"LP, Comp, RM",,2024,31001590,Uncategorized,2024-06-30 08:16:25,,,
K 46177,Alice Cooper,Love It To Death,Warner Bros. Records,"LP, Album, RE",5,1972,3711154,Uncategorized,2024-02-13 23:18:33,,,
R1 681029,Alice Cooper,School's Out,"Warner Records, Rhino Records (2)","LP, Album, RE, RM + 2xLP + Dlx, 50t",5,2023,27342996,Uncategorized,2023-06-10 09:43:14,,,
"R1 681028, 603497841011, R1 681028 / 603497841011",Alice Cooper,Killer,"Warner Records, Warner Records Inc., Rhino Entertainment Company","LP, Album, RE, RM + 2xLP + Dlx, 50t",5,2023,27375900,Uncategorized,2024-02-02 00:28:49,,,
9362-47450-2,Various,Eyes Wide Shut (Music From The Motion Picture),"Warner Sunset Records, Reprise Records","CD, Album",,1999,863671,Uncategorized,2025-07-24 23:55:59,,,
950642,Elvis Presley,Elvis Is Back,WaxTime In Color,"LP, Album, Ltd, RE, Ora",,2013,12687373,Uncategorized,2024-06-05 08:41:03,,,
